,Date,Open,High,Low,Close,Volume
275,2022-10-03,1653.71,1697.1,1650.49,1696.97,90.7949
276,2022-10-04,1694.85,1729.01,1691.95,1729.01,146.4022
277,2022-10-05,1723.81,1723.81,1694.37,1711.48,35.7294
278,2022-10-06,1710.56,1720.0,1699.58,1704.89,21.2138
279,2022-10-07,1706.14,1708.56,1684.59,1687.93,61.5135918
280,2022-10-08,1688.09,1689.91,1684.5,1687.52,5.0348
281,2022-10-09,1685.88,1690.93,1684.51,1689.66,14.1244
282,2022-10-10,1689.4,1689.81,1657.86,1660.14,58.8846
283,2022-10-11,1659.82,1675.73,1654.32,1663.01,54.0398
284,2022-10-12,1663.01,1669.17,1658.65,1665.46,37.859
285,2022-10-13,1665.48,1669.4,1638.45,1658.01,94.1877
286,2022-10-14,1658.04,1665.22,1634.3,1635.2,40.6742
287,2022-10-15,1635.2,1639.13,1630.74,1636.55,25.0124
288,2022-10-16,1636.83,1641.33,1634.35,1640.72,6.83
289,2022-10-17,1640.34,1659.98,1637.39,1647.79,27.1339
290,2022-10-18,1648.67,1652.1,1639.64,1646.52,21.6324
291,2022-10-19,1645.27,1646.47,1618.99,1620.41,28.5106
292,2022-10-20,1620.36,1661.25,1620.0,1621.61,53.1376
293,2022-10-21,1621.95,1663.98,1609.71,1648.3,80.6384
294,2022-10-22,1648.37,1681.7,1648.37,1650.03,31.157
295,2022-10-23,1649.68,1693.7,1585.0,1656.93,69.7353
296,2022-10-24,1656.81,1661.52,1640.0,1644.95,41.9424
297,2022-10-25,1645.13,1672.68,1600.01,1646.37,126.9374
298,2022-10-26,1645.55,1698.0,1643.6,1659.5,59.8178
299,2022-10-27,1660.47,1679.0,1650.0,1654.0,34.668
300,2022-10-28,1654.28,1657.29,1635.1,1637.0,45.9024
301,2022-10-29,1637.0,1644.75,1634.33,1638.13,36.6334
302,2022-10-30,1635.97,1643.54,1635.18,1637.67,13.1469
303,2022-10-31,1637.67,1639.47,1627.0,1628.39,19.3057
304,2022-11-01,1628.13,1649.7,1627.01,1640.01,46.7654
305,2022-11-02,1640.01,1660.22,1628.5,1632.36,96.3309
306,2022-11-03,1632.51,1637.52,1614.26,1624.91,55.6916
307,2022-11-04,1626.5,1673.79,1591.0,1669.73,141.3902
308,2022-11-05,1671.8,1680.78,1667.45,1670.38,34.0694
309,2022-11-06,1671.41,1695.35,1662.51,1662.52,85.02655968
310,2022-11-07,1662.52,1675.0,1641.0,1663.26,53.8257
311,2022-11-08,1663.26,1718.88,1655.55,1699.94,271.7276
312,2022-11-09,1699.89,1714.5,1685.61,1695.84,509.4114
313,2022-11-10,1695.84,1760.0,1691.0,1745.54,422.5263
314,2022-11-11,1747.3,1785.0,1737.7,1780.75,230.648
315,2022-11-12,1780.99,1787.82,1696.92,1731.83,293.4452
316,2022-11-13,1732.14,1748.91,1721.8,1739.17,384.0672
317,2022-11-14,1738.82,1767.46,1719.07,1748.56,157.5184
318,2022-11-15,1749.04,1780.0,1662.6,1770.03,265.37402707
319,2022-11-16,1771.99,1777.23,1755.21,1763.76,98.1176
320,2022-11-17,1765.5,1769.84,1740.82,1762.0,124.993
321,2022-11-18,1762.0,1763.18,1733.7,1738.52,94.1387
322,2022-11-19,1738.52,1747.47,1733.7,1745.33,50.8811
323,2022-11-20,1744.52,1758.77,1738.25,1750.32,92.2509
324,2022-11-21,1749.65,1766.02,1730.0,1741.51,83.4897
325,2022-11-22,1742.46,1747.0,1730.28,1733.53,118.9198
326,2022-11-23,1733.6,1749.72,1726.54,1745.98,64.6022
327,2022-11-24,1745.98,1756.13,1739.25,1743.35,42.1975
328,2022-11-25,1743.35,1754.01,1741.3,1749.99,37.0706
329,2022-11-26,1749.99,1764.8,1749.1,1749.5,28.2994
330,2022-11-27,1749.19,1757.49,1745.75,1745.77,25.3896
331,2022-11-28,1745.76,1753.16,1719.0,1738.79,74.8092
332,2022-11-29,1738.57,1748.84,1736.63,1738.81,44.5083
333,2022-11-30,1738.56,1761.6,1738.0,1761.6,74.6789
334,2022-12-01,1760.93,1815.0,1760.24,1792.43,103.5937
335,2022-12-02,1793.39,1798.64,1777.84,1789.72,65.2619
336,2022-12-03,1789.64,1789.73,1775.0,1785.22,30.147
337,2022-12-04,1786.28,1800.01,1783.8,1793.11,41.6472
338,2022-12-05,1791.32,1840.0,1765.0,1769.19,56.1682
339,2022-12-06,1768.9,1787.28,1764.8,1776.16,61.8479
340,2022-12-07,1776.16,1791.97,1770.87,1788.97,49.3755
341,2022-12-08,1788.81,1792.0,1779.99,1785.47,27.0527
342,2022-12-09,1785.46,1801.0,1773.76,1799.77,55.2292
343,2022-12-10,1799.77,1850.0,1785.1,1792.66,69.1794
344,2022-12-11,1791.04,1807.9,1791.04,1800.74,59.2925
345,2022-12-12,1801.2,1840.0,1777.02,1783.59,65.8274
346,2022-12-13,1783.56,1814.99,1770.0,1808.79,126.4857
347,2022-12-14,1809.68,1829.73,1794.1,1803.22,59.0342
348,2022-12-15,1803.22,1803.22,1768.0,1793.03,87.5833
349,2022-12-16,1790.47,1814.99,1771.48,1800.15,89.0364
350,2022-12-17,1800.0,1811.95,1797.09,1805.94,63.0367
351,2022-12-18,1805.64,1808.39,1794.4,1798.38,38.1074
352,2022-12-19,1796.82,1807.5,1790.01,1798.58,22.1756
353,2022-12-20,1797.87,1820.34,1793.02,1810.96,27.5133
354,2022-12-21,1811.1,1823.43,1806.44,1811.82,64.1383
355,2022-12-22,1811.46,1824.0,1790.78,1797.93,41.9168
356,2022-12-23,1797.93,1810.8,1795.06,1806.33,29.2814
357,2022-12-24,1806.35,1808.72,1800.01,1803.32,10.0962
358,2022-12-25,1803.14,1806.42,1800.0,1800.22,10.9816
359,2022-12-26,1800.22,1823.04,1798.03,1803.21,19.7267
360,2022-12-27,1803.21,1820.0,1800.0,1814.54,31.9685
361,2022-12-28,1814.53,1814.53,1803.09,1806.57,19.9294
362,2022-12-29,1806.57,1821.71,1805.1,1817.81,61.1689
363,2022-12-30,1818.66,1830.0,1813.67,1826.19,46.68
364,2022-12-31,1826.25,1830.0,1809.99,1819.29,70.8587
365,2023-01-01,1819.3,1822.97,1816.05,1821.53,9.8523
366,2023-01-02,1822.22,1828.74,1807.91,1820.42,87.8712
367,2023-01-03,1820.42,1844.43,1819.79,1838.41,54.2483
368,2023-01-04,1838.4,1865.5,1836.85,1853.34,67.2871
369,2023-01-05,1853.74,1855.64,1831.14,1834.85,36.8302
370,2023-01-06,1834.72,1857.0,1831.54,1853.0,62.5629
371,2023-01-07,1852.9,1865.85,1847.01,1857.16,35.3128
372,2023-01-08,1858.05,1869.0,1850.0,1858.43,89.1715
373,2023-01-09,1858.82,1874.68,1856.38,1860.91,57.8169
374,2023-01-10,1860.87,1865.89,1855.01,1861.6,27.1113
375,2023-01-11,1860.32,1875.0,1859.09,1873.4,25.0144
376,2023-01-12,1874.06,1886.87,1864.94,1883.7,68.2451
377,2023-01-13,1883.24,1906.0,1878.72,1896.95,86.4882
378,2023-01-14,1898.67,1942.13,1873.09,1887.58,195.4604
379,2023-01-15,1889.33,1899.94,1883.59,1898.49,59.3012
380,2023-01-16,1899.43,1906.24,1886.86,1886.86,114.2151
381,2023-01-17,1886.75,1896.69,1880.2,1886.31,57.0005
382,2023-01-18,1885.25,1896.18,1883.99,1884.0,84.4514
383,2023-01-19,1888.5,1915.0,1883.99,1915.0,57.975
384,2023-01-20,1915.0,1920.0,1904.02,1909.1,88.2088
385,2023-01-21,1908.47,1919.43,1897.34,1909.13,141.5046
386,2023-01-22,1910.43,1911.07,1899.1,1907.96,80.3902
387,2023-01-23,1907.96,1914.3,1899.65,1910.06,46.594
388,2023-01-24,1909.02,1990.0,1903.29,1906.06,107.439
389,2023-01-25,1906.0,1927.03,1904.28,1921.84,98.6657
390,2023-01-26,1922.54,1930.05,1910.01,1917.88,67.3189
391,2023-01-27,1918.41,1919.25,1908.36,1911.85,52.3222
392,2023-01-28,1912.97,1917.99,1910.28,1915.49,38.3724
393,2023-01-29,1916.24,1920.0,1905.0,1911.02,96.7966
394,2023-01-30,1910.63,1911.6,1889.14,1893.24,106.7115
395,2023-01-31,1893.23,1903.0,1862.2,1899.01,128.9854
396,2023-02-01,1897.92,1918.87,1888.0,1916.04,92.8125
397,2023-02-02,1915.79,1925.98,1891.0,1903.96,239.6172
398,2023-02-03,1903.7,1910.0,1860.0,1865.8,199.8578
399,2023-02-04,1864.87,1866.0,1849.11,1856.1,109.2453
400,2023-02-05,1856.37,1858.0,1841.85,1855.0,90.9007
